iter	Passed	Remaining
0	115	45956
1	219	43613
2	307	40642
3	385	38149
4	484	38274
5	582	38243
6	685	38478
7	784	38430
8	879	38198
9	973	37967
10	1051	37191
11	1144	36996
12	1226	36519
13	1301	35897
14	1393	35769
15	1472	35329
16	1573	35456
17	1660	35231
18	1766	35425
19	1856	35278
20	1953	35251
21	2056	35328
22	2143	35133
23	2219	34769
24	2306	34592
25	2384	34305
26	2482	34301
27	2570	34154
28	2669	34145
29	2761	34059
30	2846	33881
31	2921	33594
32	3026	33656
33	3113	33515
34	3193	33299
35	3274	33111
36	3369	33054
37	3464	33007
38	3554	32901
39	3648	32835
40	3728	32647
41	3817	32540
42	3903	32408
43	4009	32441
44	4092	32287
45	4176	32139
46	4277	32127
47	4373	32075
48	4470	32026
49	4542	31798
50	4642	31771
51	4735	31690
52	4835	31659
53	4943	31674
54	5044	31645
55	5144	31600
56	5248	31585
57	5336	31468
58	5437	31426
59	5531	31343
60	5633	31307
61	5712	31141
62	5818	31124
63	5898	30968
64	5965	30747
65	6067	30706
66	6147	30553
67	6254	30537
68	6356	30494
69	6457	30443
70	6539	30304
71	6639	30244
72	6742	30204
73	6838	30127
74	6929	30028
75	7020	29928
76	7127	29899
77	7217	29793
78	7321	29748
79	7421	29684
80	7522	29624
81	7593	29447
82	7711	29453
83	7782	29277
84	7870	29168
85	7950	29028
86	8039	28924
87	8092	28692
88	8183	28597
89	8272	28495
90	8361	28391
91	8459	28322
92	8542	28198
93	8643	28138
94	8747	28084
95	8849	28022
96	8938	27921
97	8999	27734
98	9078	27601
99	9136	27408
100	9227	27316
101	9270	27083
102	9333	26913
103	9428	26834
104	9519	26744
105	9615	26668
106	9717	26609
107	9823	26560
108	9929	26510
109	9992	26343
110	10098	26292
111	10121	26027
112	10220	25958
113	10323	25898
114	10351	25654
115	10438	25556
116	10530	25472
117	10624	25390
118	10703	25275
119	10813	25231
120	10887	25104
121	10977	25015
122	11077	24946
123	11113	24735
124	11207	24656
125	11283	24537
126	11362	24424
127	11416	24260
128	11459	24072
129	11519	23925
130	11594	23808
131	11699	23753
132	11772	23633
133	11810	23444
134	11916	23392
135	12014	23321
136	12066	23163
137	12148	23065
138	12179	22869
139	12263	22774
140	12351	22687
141	12451	22622
142	12525	22510
143	12625	22445
144	12695	22326
145	12779	22233
146	12862	22136
147	12939	22031
148	13024	21940
149	13127	21878
150	13219	21799
151	13318	21730
152	13383	21606
153	13481	21534
154	13533	21391
155	13625	21312
156	13689	21188
157	13787	21117
158	13841	20980
159	13926	20889
160	13988	20764
161	14086	20695
162	14178	20614
163	14289	20562
164	14388	20492
165	14473	20402
166	14570	20329
167	14668	20256
168	14763	20180
169	14818	20048
170	14921	19982
171	15015	19904
172	15117	19836
173	15213	19760
174	15317	19693
175	15430	19638
176	15545	19585
177	15641	19507
178	15745	19439
179	15844	19365
180	15938	19284
181	16039	19211
182	16146	19146
183	16237	19061
184	16339	18988
185	16437	18911
186	16521	18819
187	16628	18750
188	16732	18680
189	16831	18603
190	16912	18506
191	17013	18431
192	17116	18358
193	17214	18279
194	17312	18200
195	17412	18123
196	17476	18008
197	17582	17937
198	17673	17850
199	17769	17769
200	17869	17692
201	17964	17608
202	18067	17533
203	18168	17455
204	18265	17374
205	18332	17264
206	18439	17192
207	18531	17105
208	18621	17017
209	18728	16945
210	18828	16865
211	18915	16774
212	19015	16694
213	19120	16619
214	19223	16541
215	19317	16455
216	19418	16375
217	19526	16302
218	19604	16203
219	19710	16126
220	19794	16032
221	19885	15944
222	19962	15844
223	20064	15764
224	20153	15675
225	20251	15591
226	20351	15510
227	20432	15414
228	20522	15324
229	20627	15246
230	20709	15151
231	20813	15071
232	20914	14990
233	20991	14891
234	21089	14807
235	21177	14716
236	21280	14636
237	21380	14552
238	21470	14463
239	21563	14375
240	21645	14280
241	21737	14192
242	21827	14102
243	21923	14016
244	22028	13936
245	22133	13855
246	22237	13774
247	22351	13699
248	22446	13611
249	22547	13528
250	22650	13445
251	22739	13354
252	22834	13267
253	22934	13182
254	23028	13094
255	23129	13010
256	23217	12918
257	23326	12838
258	23431	12756
259	23535	12673
260	23636	12587
261	23740	12504
262	23844	12420
263	23952	12339
264	24030	12242
265	24098	12139
266	24172	12041
267	24280	11958
268	24341	11854
269	24446	11770
270	24538	11680
271	24645	11598
272	24720	11499
273	24793	11401
274	24885	11311
275	24986	11225
276	25078	11135
277	25180	11050
278	25264	10956
279	25350	10864
280	25448	10777
281	25531	10683
282	25630	10596
283	25705	10499
284	25808	10414
285	25907	10326
286	25988	10232
287	26083	10143
288	26180	10055
289	26274	9966
290	26373	9878
291	26474	9791
292	26573	9704
293	26668	9615
294	26771	9528
295	26860	9437
296	26969	9353
297	27064	9263
298	27166	9176
299	27271	9090
300	27368	9001
301	27469	8914
302	27568	8825
303	27665	8736
304	27762	8647
305	27860	8558
306	27956	8468
307	28061	8381
308	28153	8291
309	28251	8201
310	28338	8109
311	28433	8019
312	28541	7933
313	28648	7846
314	28722	7750
315	28810	7658
316	28903	7567
317	29003	7478
318	29083	7384
319	29189	7297
320	29272	7204
321	29360	7112
322	29456	7022
323	29569	6936
324	29672	6847
325	29762	6755
326	29867	6667
327	29969	6578
328	30075	6490
329	30175	6400
330	30276	6311
331	30380	6222
332	30476	6131
333	30573	6041
334	30673	5951
335	30775	5861
336	30860	5769
337	30962	5679
338	31056	5588
339	31159	5498
340	31263	5409
341	31362	5318
342	31448	5226
343	31537	5134
344	31642	5044
345	31744	4954
346	31837	4862
347	31942	4772
348	32036	4681
349	32137	4591
350	32237	4500
351	32330	4408
352	32427	4317
353	32534	4227
354	32635	4136
355	32732	4045
356	32832	3954
357	32935	3863
358	33036	3772
359	33109	3678
360	33213	3588
361	33314	3497
362	33397	3404
363	33491	3312
364	33595	3221
365	33685	3129
366	33773	3036
367	33871	2945
368	33967	2853
369	34058	2761
370	34160	2670
371	34258	2578
372	34348	2486
373	34447	2394
374	34548	2303
375	34643	2211
376	34738	2119
377	34825	2026
378	34930	1935
379	35028	1843
380	35129	1751
381	35211	1659
382	35304	1567
383	35407	1475
384	35505	1383
385	35597	1291
386	35692	1198
387	35792	1106
388	35883	1014
389	35985	922
390	36083	830
391	36187	738
392	36292	646
393	36381	554
394	36485	461
395	36591	369
396	36695	277
397	36788	184
398	36882	92
399	36975	0
