iter	RMSE
193	8.793781688
194	8.793434063
195	8.793223446
196	8.793174587
197	8.792802842
198	8.792477711
199	8.792210497
200	8.791810551
201	8.79173316
202	8.791283045
203	8.790982786
204	8.790572038
205	8.790549692
206	8.790088405
207	8.789596259
208	8.789314537
209	8.78887381
210	8.788395618
211	8.788326391
212	8.788029798
213	8.787699694
214	8.787247087
215	8.786889012
216	8.786349926
217	8.785968629
218	8.785958114
219	8.785528417
220	8.785134788
221	8.784815234
222	8.784436918
223	8.784069091
224	8.783878975
225	8.78334044
226	8.783076974
227	8.783028613
228	8.782786416
229	8.782398507
230	8.782223397
231	8.781864339
232	8.781545332
233	8.781438721
234	8.781014591
235	8.780886686
236	8.780458118
237	8.780131471
238	8.779953721
239	8.779552575
240	8.779503481
241	8.779389817
242	8.779132
243	8.778869383
244	8.778463606
245	8.778167543
246	8.777927186
247	8.777612577
248	8.77746814
249	8.77708543
250	8.776764378
251	8.776464517
252	8.776264667
253	8.775940133
254	8.775698938
255	8.775283545
256	8.775163986
257	8.774907637
258	8.774713915
259	8.774291266
260	8.773903571
261	8.773542155
262	8.773211621
263	8.77280171
264	8.772705977
265	8.772668233
266	8.772631151
267	8.772302758
268	8.772292363
269	8.77195067
270	8.771623956
271	8.771379096
272	8.771328697
273	8.771035474
274	8.770730293
275	8.770631972
276	8.770414172
277	8.770081937
278	8.769845766
279	8.769464975
280	8.769086104
281	8.768785821
282	8.768434135
283	8.768038652
284	8.767824164
285	8.767665648
286	8.767629074
287	8.767441898
288	8.767027862
289	8.766824492
290	8.766554541
291	8.766316596
292	8.76606758
293	8.765761777
294	8.765457436
295	8.76515934
296	8.764854951
297	8.764551878
298	8.764424759
299	8.764213546
300	8.764005806
301	8.763696642
302	8.763394752
303	8.763130342
304	8.76295011
305	8.762819556
306	8.762521641
307	8.762328041
308	8.762104337
309	8.761692508
310	8.761525847
311	8.761249955
312	8.760789831
313	8.760530579
314	8.760324717
315	8.760174811
316	8.759929975
317	8.759653186
318	8.759626948
319	8.759314691
320	8.75911114
321	8.759000378
322	8.758685795
323	8.758405906
324	8.757992291
325	8.757824703
326	8.757492556
327	8.757239575
328	8.756925361
329	8.756606651
330	8.756417788
331	8.756230561
332	8.755972231
333	8.755703935
334	8.75541682
335	8.755139116
336	8.754931077
337	8.754563927
338	8.754147394
339	8.753941096
340	8.75354372
341	8.753257429
342	8.753219709
343	8.752929618
344	8.752810942
345	8.752562945
346	8.752298808
347	8.752071088
348	8.751753293
349	8.75156314
350	8.751129736
351	8.750945666
352	8.750716786
353	8.750466757
354	8.750185741
355	8.749867314
356	8.749715812
357	8.749380561
358	8.749203501
359	8.749018742
360	8.748753176
361	8.74850194
362	8.748256599
363	8.747990932
364	8.747749572
365	8.74743688
366	8.747299422
367	8.746984053
368	8.746761867
369	8.74661214
370	8.746353465
371	8.746108673
372	8.745762564
373	8.745526222
374	8.745249877
375	8.74501993
376	8.744914175
377	8.744673137
378	8.7444943
379	8.744385545
380	8.744052386
381	8.744022225
382	8.743733875
383	8.743406431
384	8.743166867
385	8.742939981
386	8.742682098
387	8.742325154
388	8.742230971
389	8.741976861
390	8.741855559
391	8.741600005
392	8.74131891
393	8.741242563
394	8.741037871
395	8.74061091
396	8.740352121
397	8.740128383
398	8.739956506
399	8.739680348
