iter	Passed	Remaining
0	119	41801
1	220	38417
2	328	37954
3	419	36295
4	520	35899
5	623	35769
6	727	35628
7	822	35170
8	926	35090
9	1018	34643
10	1117	34435
11	1210	34091
12	1338	34704
13	1435	34448
14	1539	34378
15	1618	33787
16	1715	33612
17	1802	33249
18	1903	33158
19	2006	33111
20	2079	32578
21	2181	32528
22	2270	32279
23	2369	32185
24	2447	31821
25	2549	31770
26	2633	31508
27	2735	31453
28	2830	31334
29	2934	31298
30	3012	31002
31	3113	30939
32	3191	30656
33	3273	30426
34	3380	30425
35	3478	30338
36	3575	30247
37	3667	30111
38	3770	30070
39	3845	29803
40	3942	29716
41	4034	29587
42	4098	29264
43	4203	29236
44	4281	29020
45	4358	28803
46	4450	28694
47	4546	28607
48	4640	28504
49	4742	28457
50	4844	28401
51	4931	28262
52	5032	28198
53	5127	28108
54	5209	27942
55	5304	27847
56	5391	27715
57	5488	27629
58	5569	27468
59	5668	27396
60	5783	27398
61	5895	27387
62	5993	27301
63	6093	27230
64	6173	27068
65	6276	27008
66	6370	26907
67	6465	26811
68	6538	26626
69	6637	26548
70	6731	26450
71	6797	26247
72	6876	26093
73	6981	26038
74	7070	25925
75	7167	25840
76	7247	25696
77	7332	25570
78	7428	25481
79	7534	25429
80	7637	25363
81	7733	25276
82	7801	25096
83	7903	25027
84	8006	24962
85	8100	24868
86	8160	24670
87	8239	24529
88	8336	24448
89	8440	24382
90	8552	24342
91	8622	24180
92	8720	24098
93	8825	24036
94	8904	23901
95	9010	23840
96	9079	23682
97	9169	23577
98	9283	23537
99	9367	23417
100	9458	23318
101	9549	23217
102	9582	22979
103	9669	22873
104	9772	22802
105	9845	22663
106	9909	22504
107	10011	22433
108	10111	22355
109	10214	22285
110	10320	22222
111	10422	22148
112	10513	22049
113	10602	21949
114	10705	21876
115	10793	21774
116	10888	21684
117	10958	21546
118	11052	21454
119	11162	21393
120	11269	21328
121	11373	21255
122	11480	21188
123	11594	21131
124	11702	21065
125	11792	20963
126	11879	20860
127	11967	20755
128	12071	20681
129	12173	20601
130	12269	20511
131	12359	20412
132	12459	20328
133	12554	20236
134	12667	20174
135	12769	20092
136	12868	20006
137	12955	19902
138	13043	19799
139	13164	19747
140	13262	19658
141	13347	19551
142	13434	19447
143	13535	19363
144	13636	19278
145	13728	19181
146	13825	19092
147	13922	19002
148	14020	18913
149	14115	18820
150	14205	18721
151	14311	18643
152	14415	18561
153	14498	18453
154	14587	18351
155	14658	18228
156	14753	18136
157	14848	18043
158	14947	17956
159	15039	17859
160	15134	17766
161	15197	17636
162	15290	17541
163	15375	17437
164	15449	17322
165	15550	17236
166	15656	17156
167	15739	17050
168	15834	16959
169	15933	16870
170	16034	16784
171	16134	16697
172	16241	16617
173	16337	16525
174	16372	16372
175	16449	16262
176	16548	16174
177	16654	16093
178	16726	15979
179	16817	15883
180	16905	15785
181	17001	15693
182	17099	15604
183	17194	15512
184	17290	15421
185	17411	15351
186	17521	15272
187	17612	15176
188	17647	15033
189	17762	14957
190	17864	14871
191	17970	14787
192	18038	14673
193	18130	14579
194	18231	14491
195	18334	14405
196	18412	14300
197	18506	14206
198	18605	14117
199	18684	14013
200	18795	13932
201	18895	13843
202	19007	13764
203	19117	13681
204	19222	13596
205	19257	13461
206	19372	13383
207	19471	13293
208	19567	13200
209	19663	13109
210	19755	13014
211	19876	12938
212	19987	12855
213	20072	12756
214	20166	12662
215	20264	12571
216	20358	12477
217	20417	12362
218	20519	12274
219	20611	12179
220	20702	12084
221	20808	11997
222	20911	11909
223	20968	11795
224	21076	11709
225	21174	11618
226	21275	11527
227	21381	11440
228	21485	11352
229	21567	11252
230	21604	11129
231	21706	11040
232	21745	10919
233	21821	10817
234	21920	10726
235	22022	10637
236	22132	10552
237	22240	10466
238	22328	10370
239	22402	10267
240	22512	10181
241	22604	10088
242	22712	10000
243	22810	9909
244	22910	9818
245	23001	9724
246	23093	9630
247	23134	9515
248	23246	9429
249	23328	9331
250	23429	9241
251	23530	9150
252	23627	9058
253	23714	8963
254	23808	8869
255	23897	8774
256	23990	8681
257	24087	8589
258	24192	8500
259	24293	8409
260	24396	8319
261	24508	8231
262	24604	8139
263	24709	8049
264	24817	7960
265	24921	7869
266	24973	7763
267	25076	7672
268	25187	7584
269	25289	7493
270	25400	7404
271	25505	7314
272	25601	7220
273	25707	7130
274	25807	7038
275	25901	6944
276	26011	6855
277	26116	6764
278	26216	6671
279	26332	6583
280	26441	6492
281	26532	6397
282	26632	6305
283	26712	6207
284	26804	6113
285	26912	6022
286	27009	5928
287	27103	5834
288	27202	5741
289	27294	5647
290	27398	5555
291	27505	5463
292	27624	5374
293	27734	5282
294	27836	5189
295	27939	5097
296	28044	5004
297	28150	4912
298	28253	4819
299	28355	4725
300	28466	4634
301	28581	4542
302	28687	4449
303	28794	4357
304	28891	4262
305	28993	4169
306	29092	4074
307	29181	3979
308	29267	3883
309	29372	3790
310	29477	3696
311	29567	3601
312	29652	3505
313	29753	3411
314	29864	3318
315	29968	3224
316	30067	3130
317	30165	3035
318	30267	2941
319	30359	2846
320	30472	2752
321	30579	2659
322	30676	2564
323	30779	2469
324	30889	2376
325	30964	2279
326	31056	2184
327	31161	2090
328	31263	1995
329	31366	1901
330	31482	1807
331	31587	1712
332	31704	1618
333	31817	1524
334	31920	1429
335	32025	1334
336	32114	1238
337	32187	1142
338	32286	1047
339	32393	952
340	32500	857
341	32606	762
342	32699	667
343	32815	572
344	32920	477
345	33032	381
346	33134	286
347	33219	190
348	33321	95
349	33368	0
