iter	Logloss
0	0.6442900001
1	0.6019280113
2	0.5664940682
3	0.5364901028
4	0.5091167265
5	0.4845257734
6	0.4633348126
7	0.4454029968
8	0.4303030299
9	0.4167446923
10	0.4053585153
11	0.3953787397
12	0.3865463857
13	0.376995356
14	0.3687433086
15	0.3616829187
16	0.3559423829
17	0.350554807
18	0.3457955169
19	0.3415873184
20	0.3380283201
21	0.3349079454
22	0.3321487977
23	0.3297554766
24	0.3276382925
25	0.3257285235
26	0.3240553047
27	0.3225687103
28	0.3212487067
29	0.3200942242
30	0.318977352
31	0.3179293529
32	0.317058887
33	0.3162461015
34	0.3155008345
35	0.3148383343
36	0.3142137367
37	0.3136936919
38	0.313092256
39	0.3125588225
40	0.3120662231
41	0.311665652
42	0.3112685077
43	0.3109138851
44	0.310552298
45	0.3102239005
46	0.3099009362
47	0.3096313315
48	0.3093472263
49	0.3090928995
50	0.3087600067
51	0.308484054
52	0.3081764243
53	0.3079578794
54	0.3077459166
55	0.3075537645
56	0.307348824
57	0.30717614
58	0.3070148413
59	0.3068844761
60	0.3067451471
61	0.3066066808
62	0.3064683054
63	0.3063067384
64	0.3061834109
65	0.3060482734
66	0.3059368394
67	0.305824832
68	0.305717507
69	0.3056129968
70	0.3055191036
71	0.305428926
72	0.3053401735
73	0.3052614973
74	0.3051719841
75	0.3050630736
76	0.3048808397
77	0.3048168797
78	0.3047504504
79	0.3046874955
80	0.3045919747
81	0.3044979006
82	0.3043453219
83	0.3042489693
84	0.3041895193
85	0.3041259513
86	0.3040670964
87	0.3039333731
88	0.303896617
89	0.3038497739
90	0.3038038826
91	0.3037606384
92	0.3036409986
93	0.3035712013
94	0.3035024981
95	0.3034371573
96	0.3033422202
97	0.3033044284
98	0.3032587749
99	0.3032169291
100	0.3031764061
101	0.3030815635
102	0.3030776381
103	0.3030202129
104	0.3029828399
105	0.3028984548
106	0.302865989
107	0.3028401854
108	0.3028056089
109	0.3027366417
110	0.3026830823
111	0.3026573574
112	0.3026042127
113	0.3025619366
114	0.3025031447
115	0.302474243
116	0.3024307862
117	0.3023937606
118	0.3023597104
119	0.3023199934
120	0.3022770182
121	0.3022286548
122	0.3021948912
123	0.3021440855
124	0.3021232998
125	0.3021030464
126	0.3020726626
127	0.3020367038
128	0.3020182275
129	0.3019906081
130	0.3019359641
131	0.3018773134
132	0.3018344085
133	0.3018015606
134	0.301783194
135	0.3017407446
136	0.3017112093
137	0.3016806941
138	0.301650331
139	0.3016184412
140	0.3016031507
141	0.3015857779
142	0.3015471369
143	0.3015110992
144	0.3014940252
145	0.3014734641
146	0.3014484942
147	0.3014379873
148	0.3014038411
149	0.3013755814
150	0.3013584283
151	0.3013283886
152	0.301282293
153	0.3012538909
154	0.3012405987
155	0.3012218918
156	0.3012064553
157	0.3011890752
158	0.3011517355
159	0.3011248752
160	0.3011044447
161	0.3010923379
162	0.3010704472
163	0.3010511112
164	0.3010435176
165	0.3010115644
166	0.3009881788
167	0.300967785
168	0.300948708
169	0.3009312907
170	0.3009058557
171	0.3008952536
172	0.3008742378
173	0.3008600931
174	0.3008599848
175	0.3008447549
176	0.3008267592
177	0.300811134
178	0.300803499
179	0.3007927502
180	0.3007661995
181	0.3007538468
182	0.3007373024
183	0.300729085
184	0.3007226799
185	0.3007034581
186	0.3006810748
187	0.3006716739
188	0.3006709262
189	0.3006446252
190	0.3006384256
191	0.3006095558
192	0.300604423
193	0.3005793006
194	0.3005578306
195	0.3005263222
196	0.3005133557
197	0.3004897681
198	0.3004721062
199	0.3004654358
200	0.3004568584
201	0.3004355279
202	0.3004042692
203	0.300395029
204	0.3003765529
205	0.3003758173
206	0.3003677992
207	0.3003583099
208	0.3003504229
209	0.3003433793
210	0.3003251148
211	0.3003097515
212	0.3002945388
213	0.3002865692
214	0.3002821534
215	0.3002676744
216	0.3002462437
217	0.3002337298
218	0.3002151927
219	0.3002065706
220	0.300196295
221	0.3001806544
222	0.3001663914
223	0.3001660695
224	0.3001522907
225	0.300142911
226	0.3001162656
227	0.3000860365
228	0.3000557036
229	0.3000524755
230	0.3000523821
231	0.300040732
232	0.3000406682
233	0.3000351009
234	0.3000257824
235	0.3000063075
236	0.299998781
237	0.2999774999
238	0.2999694411
239	0.2999684828
240	0.2999565565
241	0.2999399179
242	0.2999100342
243	0.2998956205
244	0.2998682053
245	0.2998452287
246	0.2998311038
247	0.2998310845
248	0.2998146793
249	0.2997976929
250	0.2997694734
251	0.2997563469
252	0.2997418953
253	0.2997289998
254	0.2997240422
255	0.2996973041
256	0.2996750546
257	0.2996583589
258	0.2996420217
259	0.299622165
260	0.2996053345
261	0.2995908677
262	0.2995770671
263	0.2995430243
264	0.2995236894
265	0.2995114527
266	0.2995112911
267	0.2995042908
268	0.299479682
269	0.299462876
270	0.2994508195
271	0.2994367131
272	0.299424094
273	0.2994130846
274	0.2993806828
275	0.299363632
276	0.299349167
277	0.2993326215
278	0.2993302876
279	0.2993179275
280	0.2992896619
281	0.2992867397
282	0.299278393
283	0.2992764343
284	0.2992673288
285	0.2992371069
286	0.2992135892
287	0.2991976676
288	0.2991689309
289	0.2991552058
290	0.2991246185
291	0.2991029089
292	0.2990765809
293	0.2990530946
294	0.2990380508
295	0.2990189937
296	0.2990008923
297	0.2989870318
298	0.298972832
299	0.2989626815
300	0.2989432572
301	0.2989110911
302	0.2988854697
303	0.2988626603
304	0.2988539517
305	0.2988355318
306	0.2988134354
307	0.2988073956
308	0.2987904891
309	0.29877983
310	0.2987584648
311	0.2987508672
312	0.2987501141
313	0.298730198
314	0.2987252349
315	0.2987070773
316	0.2986946869
317	0.2986803942
318	0.2986610238
319	0.2986547213
320	0.2986350493
321	0.2986161217
322	0.298608048
323	0.2985937699
324	0.2985778804
325	0.2985768331
326	0.2985626837
327	0.2985521983
328	0.2985423182
329	0.2985237232
330	0.2985107866
331	0.2984944985
332	0.2984827267
333	0.2984736949
334	0.2984641742
335	0.2984515475
336	0.2984446299
337	0.298443997
338	0.2984266294
339	0.2984055662
340	0.2983876445
341	0.2983779153
342	0.2983699066
343	0.298359064
344	0.2983440947
345	0.2983366078
346	0.2983203013
347	0.2983184384
348	0.2983078815
349	0.298306936
