iter	Passed	Remaining
0	91	126256
1	172	119452
2	261	120823
3	344	119111
4	429	118879
5	527	121606
6	610	120529
7	690	119081
8	776	118901
9	861	118728
10	944	118295
11	1028	117976
12	1116	118083
13	1200	117860
14	1289	118041
15	1376	118019
16	1464	118113
17	1551	118077
18	1642	118358
19	1730	118350
20	1815	118148
21	1895	117702
22	1978	117391
23	2064	117338
24	2148	117110
25	2233	116978
26	2313	116604
27	2391	116168
28	2471	115801
29	2564	116096
30	2647	115903
31	2732	115790
32	2819	115759
33	2902	115598
34	2981	115274
35	3065	115124
36	3147	114921
37	3230	114770
38	3319	114827
39	3403	114690
40	3490	114679
41	3570	114426
42	3653	114285
43	3735	114109
44	3816	113891
45	3898	113744
46	3979	113555
47	4062	113398
48	4142	113200
49	4224	113034
50	4306	112900
51	4382	112599
52	4465	112477
53	4548	112375
54	4635	112343
55	4715	112162
56	4808	112286
57	4899	112341
58	4986	112315
59	5074	112326
60	5154	112141
61	5242	112113
62	5321	111926
63	5403	111790
64	5492	111801
65	5584	111858
66	5668	111769
67	5762	111851
68	5848	111806
69	5930	111657
70	6015	111581
71	6099	111486
72	6183	111380
73	6263	111220
74	6344	111064
75	6428	110971
76	6523	111074
77	6606	110952
78	6692	110893
79	6773	110742
80	6857	110652
81	6939	110531
82	7021	110398
83	7100	110219
84	7181	110086
85	7267	110033
86	7348	109886
87	7447	110022
88	7534	109972
89	7617	109857
90	7697	109708
91	7777	109556
92	7857	109409
93	7943	109347
94	8022	109187
95	8112	109186
96	8195	109076
97	8277	108955
98	8365	108915
99	8449	108834
100	8537	108792
101	8619	108674
102	8700	108547
103	8785	108464
104	8869	108382
105	8952	108276
106	9035	108170
107	9113	108007
108	9200	107957
109	9285	107882
110	9369	107790
111	9455	107724
112	9547	107727
113	9634	107664
114	9710	107493
115	9792	107376
116	9873	107261
117	9953	107126
118	10036	107033
119	10118	106915
120	10196	106771
121	10275	106626
122	10353	106485
123	10434	106365
124	10518	106281
125	10600	106168
126	10693	106176
127	10772	106043
128	10850	105897
129	10925	105722
130	11001	105568
131	11082	105448
132	11164	105349
133	11244	105228
134	11326	105126
135	11408	105023
136	11490	104920
137	11568	104790
138	11651	104700
139	11734	104601
140	11820	104539
