iter	Accuracy	MultiClass
281	0.9687442364	0.09231183667
282	0.9687937883	0.09224707773
283	0.9687587344	0.0921913451
284	0.9688099838	0.09213680563
285	0.9688402738	0.09208177014
286	0.9688659971	0.09204549375
287	0.9688502663	0.09198517519
288	0.968898395	0.09192119275
289	0.9688928015	0.09183588447
290	0.9689283654	0.09180544591
291	0.9688970486	0.09170909437
292	0.9690176829	0.09161431289
293	0.9690317775	0.09157406137
294	0.9690783083	0.09149608573
295	0.969070827	0.09145105296
296	0.9690486347	0.09140904055
297	0.9690426832	0.09136757933
298	0.9690601569	0.09133385056
299	0.9690420668	0.09130708853
300	0.9691243745	0.09124986233
301	0.9692507473	0.09116041344
302	0.9692333189	0.09108636483
303	0.9692128241	0.09103860084
304	0.9692490498	0.09097417456
305	0.9692747278	0.09092372469
306	0.9692706256	0.09089583755
307	0.9692905652	0.09084932216
308	0.9693343333	0.09081134911
309	0.9693161366	0.09077809335
310	0.9693143938	0.09074480766
311	0.9693820971	0.09069968731
312	0.9693983991	0.0906221391
313	0.9693780561	0.09056228818
314	0.9693588396	0.09050860189
315	0.9694159793	0.09045504052
316	0.9694561552	0.09040840373
317	0.9695167806	0.09035669294
318	0.9695115521	0.09030436536
319	0.9695512181	0.09026340433
320	0.9696486403	0.09023121907
321	0.9697035273	0.09017670526
322	0.9697227438	0.09012907083
323	0.9697005062	0.09004964256
324	0.9697332009	0.09001599866
325	0.9697151107	0.08997207929
326	0.9698282184	0.08991405721
327	0.969823561	0.08982989456
328	0.9698416512	0.08979483206
329	0.9698040861	0.08971716038
330	0.9698011103	0.08962811536
331	0.9698493386	0.0895401152
332	0.9698289957	0.08951105092
333	0.9698524663	0.08947881188
334	0.9699292871	0.08943931235
335	0.9699625529	0.08940545085
336	0.9699503531	0.08936607777
337	0.9699346675	0.08934059358
338	0.9699708479	0.08927121005
339	0.96997495	0.08924335876
340	0.9699952929	0.08919401568
341	0.9700214808	0.08913086813
342	0.970079595	0.08899487829
343	0.9700499215	0.0889416842
344	0.9700714973	0.08889014303
345	0.9701536985	0.08883026696
346	0.9701303799	0.08878513646
347	0.9702466152	0.08875457183
348	0.9703668462	0.08870963902
349	0.9703283065	0.08867572456
350	0.9703651033	0.08863688007
351	0.9703655679	0.08860180003
352	0.9704041076	0.08857036232
353	0.9704269617	0.08846110974
354	0.9704304473	0.08843579397
355	0.970408255	0.08840317989
356	0.9704287045	0.08835414919
357	0.9704354174	0.08827176624
358	0.9704290625	0.08823230561
359	0.9703800659	0.08817578344
360	0.970474467	0.08813371727
361	0.9704557603	0.08811033737
362	0.9704795889	0.0880911694
363	0.9705181286	0.08805278488
364	0.9705200164	0.08797716533
365	0.9705614252	0.08792545607
366	0.9705772626	0.08787936362
367	0.9706221572	0.08785381892
368	0.9706218987	0.08780236239
369	0.9706599285	0.08776291944
370	0.9706788866	0.08767429124
371	0.9707010789	0.08763886701
372	0.9707867658	0.08758579997
373	0.9708504123	0.08753216039
374	0.9708562573	0.08749430953
375	0.9708405264	0.08745008107
376	0.9708178242	0.08741993811
377	0.9708148484	0.08736766013
378	0.9708789595	0.08730734464
379	0.970884188	0.08724267928
380	0.9709203683	0.08718887265
381	0.9709798673	0.08716412858
382	0.970983353	0.08712903167
383	0.9709792509	0.08709812671
384	0.971003186	0.08708244429
385	0.9710357288	0.08704302775
386	0.9710053934	0.08697279219
387	0.9709857123	0.08691283457
388	0.9709908343	0.08687145964
389	0.9710043124	0.08683369454
390	0.9710049289	0.08678540934
391	0.9711099389	0.08675303743
392	0.9711560819	0.08667397681
393	0.9711473677	0.08665318088
394	0.9711706864	0.08661022573
395	0.971180527	0.08658629866
396	0.9713012679	0.0865319976
397	0.9713012679	0.08648346915
398	0.9713199745	0.08645416381
399	0.9713018843	0.08642073368
400	0.9713916734	0.08636336442
401	0.9713794735	0.08631723792
402	0.9714610129	0.08621717657
403	0.9715257405	0.08617195489
404	0.9715041646	0.08611965845
405	0.9714532733	0.08607701448
406	0.9714702371	0.08604363638
407	0.9715326053	0.08600509863
408	0.9715343481	0.08596499251
409	0.9716346395	0.08592071478
