iter	Accuracy	MultiClass
876	0.9786060415	0.07114887999
877	0.9786293601	0.07111864487
878	0.9786463239	0.07109532746
879	0.9786550381	0.07107707841
880	0.9786561645	0.07103701519
881	0.9786701525	0.07101532026
882	0.9786736382	0.07097513851
883	0.9786445811	0.07095051783
884	0.978655548	0.07091174585
885	0.978650936	0.07087434416
886	0.9786602666	0.07084509951
887	0.9786602666	0.07081300907
888	0.978666515	0.07079105414
889	0.9786630293	0.07077996021
890	0.9786788667	0.07075952282
891	0.9787004426	0.07074921439
892	0.9786986997	0.07070960514
893	0.9786947041	0.07068440906
894	0.9787185327	0.07067302634
895	0.9787255041	0.07065364592
896	0.9787476964	0.07063716777
897	0.9787185327	0.07062394065
898	0.9787435943	0.07060374486
899	0.9787611745	0.07059481742
