iter	Logloss
0	0.6246951138
1	0.5678402254
2	0.5222589092
3	0.4838240919
4	0.4520610165
5	0.4259478301
6	0.4046192591
7	0.3866090322
8	0.371415136
9	0.3586139111
10	0.3477953458
11	0.3386381036
12	0.3309647119
13	0.3243917774
14	0.3185263874
15	0.3135124621
16	0.3090982493
17	0.305307201
18	0.3019338291
19	0.2990405616
20	0.2964218827
21	0.2941139533
22	0.2919942002
23	0.2901714765
24	0.2885200371
25	0.2870052332
26	0.2856661132
27	0.2844596146
28	0.2833800957
29	0.2823825679
30	0.2815067708
31	0.2807434537
32	0.2800015541
33	0.2793365261
34	0.2787181338
35	0.2781729778
36	0.2776651189
37	0.2772250278
38	0.2767603222
39	0.2763212172
40	0.2759354511
41	0.2756080298
42	0.2753077224
43	0.2749837899
44	0.2747052685
45	0.2744574597
46	0.2742114524
47	0.2739651791
48	0.273718676
49	0.2734931293
50	0.2732923135
51	0.2730811156
52	0.2729060804
53	0.2727587514
54	0.27259269
55	0.2724375866
56	0.2722813249
57	0.2721543194
58	0.2720234321
59	0.2718928976
60	0.271786049
61	0.2716652997
62	0.2715664221
63	0.2714664926
64	0.2713644732
65	0.2712619364
66	0.2711714174
67	0.2710750598
68	0.2709855516
69	0.2709061816
70	0.2708290679
71	0.2707561064
72	0.2706868838
73	0.2706208395
74	0.270563492
75	0.2704965533
76	0.2704264846
77	0.2703668463
78	0.270308123
79	0.2702496926
80	0.2701976594
81	0.270142446
82	0.2700923493
83	0.270023678
84	0.2699594614
85	0.2699125767
86	0.2698675983
87	0.26978259
88	0.2697496518
89	0.2697120669
90	0.2696805424
91	0.2696352567
92	0.2695913524
93	0.2695567442
94	0.2695205843
95	0.2694348274
96	0.2693992136
97	0.2693638402
98	0.2693298143
99	0.269271234
100	0.2692372064
101	0.269207376
102	0.2691748307
103	0.2691386944
104	0.2691138951
105	0.2690788222
106	0.2690402682
107	0.2690033895
108	0.268978304
109	0.2689457895
110	0.2689215873
111	0.2688937895
112	0.2688620823
113	0.2688321957
114	0.2687923039
115	0.2687100445
116	0.268682201
117	0.2686602206
118	0.2686402358
119	0.2686119702
120	0.2685870008
121	0.2685632531
122	0.2685413721
123	0.2684974838
124	0.2684790966
125	0.2684550073
126	0.2684368469
127	0.2684087483
128	0.2683881608
129	0.268368906
130	0.2683571922
131	0.2683297683
132	0.268301508
133	0.2682788852
134	0.2682608823
135	0.268243272
136	0.2682208086
137	0.268206062
138	0.2681871753
139	0.2681671227
140	0.2681401359
141	0.2681220099
142	0.2680906397
143	0.2680634517
144	0.2680480244
145	0.2680352972
146	0.2680185345
147	0.2679948358
148	0.2679726759
149	0.2679534781
150	0.2679338638
151	0.267914956
152	0.267904263
153	0.2678762403
154	0.2678435763
155	0.2677817795
156	0.2677443094
157	0.2677262749
158	0.2677136798
159	0.2677009282
160	0.2676793483
161	0.2676623586
162	0.267646617
163	0.2676266095
164	0.2676105375
165	0.2675721999
166	0.2674923705
167	0.267476155
168	0.2674500261
169	0.267391274
170	0.2673723395
171	0.2673481699
172	0.2673201336
173	0.2672996678
174	0.2672813106
175	0.2672722799
176	0.2672511746
177	0.2672271824
178	0.2672121364
179	0.2671632904
180	0.2671464769
181	0.2671156546
182	0.2670949831
183	0.2670823974
184	0.2670655382
185	0.267050207
186	0.2670246397
187	0.2670027632
188	0.2669878043
189	0.2669542289
190	0.2669305534
191	0.2669127074
192	0.2668794977
193	0.2668492154
194	0.2668262193
195	0.2668157492
196	0.2667966663
197	0.266782399
198	0.2667659464
199	0.2667640981
200	0.2667395809
201	0.2667267895
202	0.2667067929
203	0.2666927008
204	0.2666713841
205	0.2666550593
206	0.2666266053
207	0.2665962956
208	0.2665797817
209	0.2665645178
210	0.2665461776
211	0.266529602
212	0.266510733
213	0.2664970386
214	0.2664776435
215	0.2664579108
216	0.2664439366
217	0.2664156431
218	0.2664017462
219	0.2663907328
220	0.2663530325
221	0.2663228939
222	0.2663080826
223	0.2662928146
224	0.2662706412
225	0.2662501454
226	0.266218151
227	0.2662030116
228	0.2661778856
229	0.2661565523
230	0.266142517
231	0.2661259616
232	0.2661106199
233	0.2660898246
234	0.2660689378
235	0.2660473478
236	0.266024801
237	0.2660034951
238	0.2659828657
239	0.2659595192
240	0.2659394327
241	0.2659192599
242	0.2659040498
243	0.2658820439
244	0.2658632785
245	0.2658308736
246	0.2658165361
247	0.265801757
248	0.2657832075
249	0.26576325
250	0.2657461417
251	0.2657175689
252	0.2656959529
253	0.2656816791
254	0.2656657842
255	0.2656530845
256	0.2656407648
257	0.2656238615
258	0.2656016305
259	0.2655726886
260	0.2655562711
261	0.2655439071
262	0.2655307927
263	0.2655187621
264	0.2655008515
265	0.2654875292
266	0.2654693338
267	0.2654542835
268	0.2654386278
269	0.2654233681
270	0.2654076146
271	0.265398064
272	0.2653827776
273	0.2653675532
274	0.2653525014
275	0.2653428532
276	0.2653242406
277	0.2653115414
278	0.2652927292
279	0.2652736357
280	0.2652553761
281	0.2652332967
282	0.2652159594
283	0.2652018577
284	0.2651896603
285	0.2651742383
286	0.2651603768
287	0.2651477869
288	0.2651301054
289	0.265121046
290	0.2651076385
291	0.2650927046
292	0.2650793701
293	0.2650668947
294	0.265054078
295	0.265039816
296	0.265023851
297	0.2650100974
298	0.2649861645
299	0.2649728952
